release_date,spawning_year,folder,array_task_id,script
1993-11-15,1994,KRICO_0001,1,run.py
1993-11-16,1994,KRICO_0001,2,run.py
1993-11-17,1994,KRICO_0001,3,run.py
1993-11-18,1994,KRICO_0001,4,run.py
1993-11-19,1994,KRICO_0001,5,run.py
1993-11-20,1994,KRICO_0001,6,run.py
1993-11-21,1994,KRICO_0001,7,run.py
1993-11-22,1994,KRICO_0001,8,run.py
1993-11-23,1994,KRICO_0001,9,run.py
1993-11-24,1994,KRICO_0001,10,run.py
1993-11-25,1994,KRICO_0001,11,run.py
1993-11-26,1994,KRICO_0001,12,run.py
1993-11-27,1994,KRICO_0001,13,run.py
1993-11-28,1994,KRICO_0001,14,run.py
1993-11-29,1994,KRICO_0001,15,run.py
1993-11-30,1994,KRICO_0001,16,run.py
1993-12-01,1994,KRICO_0001,18,run.py
1993-12-02,1994,KRICO_0001,19,run.py
1993-12-03,1994,KRICO_0001,20,run.py
1993-12-04,1994,KRICO_0001,21,run.py
1993-12-05,1994,KRICO_0001,22,run.py
1993-12-06,1994,KRICO_0001,23,run.py
1993-12-07,1994,KRICO_0001,24,run.py
1993-12-08,1994,KRICO_0001,25,run.py
1993-12-09,1994,KRICO_0001,26,run.py
1993-12-10,1994,KRICO_0001,27,run.py
1993-12-11,1994,KRICO_0001,28,run.py
1993-12-12,1994,KRICO_0001,29,run.py
1993-12-13,1994,KRICO_0001,30,run.py
1993-12-14,1994,KRICO_0001,31,run.py
1993-12-15,1994,KRICO_0002,1,run.py
1993-12-16,1994,KRICO_0002,2,run.py
1993-12-17,1994,KRICO_0002,3,run.py
1993-12-18,1994,KRICO_0002,4,run.py
1993-12-19,1994,KRICO_0002,5,run.py
1993-12-20,1994,KRICO_0002,6,run.py
1993-12-21,1994,KRICO_0002,7,run.py
1993-12-22,1994,KRICO_0002,8,run.py
1993-12-23,1994,KRICO_0002,9,run.py
1993-12-24,1994,KRICO_0002,10,run.py
1993-12-25,1994,KRICO_0002,11,run.py
1993-12-26,1994,KRICO_0002,12,run.py
1993-12-27,1994,KRICO_0002,13,run.py
1993-12-28,1994,KRICO_0002,14,run.py
1993-12-29,1994,KRICO_0002,15,run.py
1993-12-30,1994,KRICO_0002,16,run.py
1993-12-31,1994,KRICO_0002,17,run.py
1994-01-01,1994,KRICO_0002,18,run.py
1994-01-02,1994,KRICO_0002,19,run.py
1994-01-03,1994,KRICO_0002,20,run.py
1994-01-04,1994,KRICO_0002,21,run.py
1994-01-05,1994,KRICO_0002,22,run.py
1994-01-06,1994,KRICO_0002,23,run.py
1994-01-07,1994,KRICO_0002,24,run.py
1994-01-08,1994,KRICO_0002,25,run.py
1994-01-09,1994,KRICO_0002,26,run.py
1994-01-10,1994,KRICO_0002,27,run.py
1994-01-11,1994,KRICO_0002,28,run.py
1994-01-12,1994,KRICO_0002,29,run.py
1994-01-13,1994,KRICO_0002,30,run.py
1994-01-14,1994,KRICO_0002,31,run.py
1994-01-15,1994,KRICO_0003,1,run.py
1994-01-16,1994,KRICO_0003,2,run.py
1994-01-17,1994,KRICO_0003,3,run.py
1994-01-18,1994,KRICO_0003,4,run.py
1994-01-19,1994,KRICO_0003,5,run.py
1994-01-20,1994,KRICO_0003,6,run.py
1994-01-21,1994,KRICO_0003,7,run.py
1994-01-22,1994,KRICO_0003,8,run.py
1994-01-23,1994,KRICO_0003,9,run.py
1994-01-24,1994,KRICO_0003,10,run.py
1994-01-25,1994,KRICO_0003,11,run.py
1994-01-26,1994,KRICO_0003,12,run.py
1994-01-27,1994,KRICO_0003,13,run.py
1994-01-28,1994,KRICO_0003,14,run.py
1994-01-29,1994,KRICO_0003,15,run.py
1994-01-30,1994,KRICO_0003,16,run.py
1994-01-31,1994,KRICO_0003,17,run.py
1994-02-01,1994,KRICO_0003,18,run.py
1994-02-02,1994,KRICO_0003,19,run.py
1994-02-03,1994,KRICO_0003,20,run.py
1994-02-04,1994,KRICO_0003,21,run.py
1994-02-05,1994,KRICO_0003,22,run.py
1994-02-06,1994,KRICO_0003,23,run.py
1994-02-07,1994,KRICO_0003,24,run.py
1994-02-08,1994,KRICO_0003,25,run.py
1994-02-09,1994,KRICO_0003,26,run.py
